errorCode	errorNum         errorMsg
233	ORA-00322     log of thread is not current copy
234	ORA-00323     Current log of thread not useable and all others need archiving
235	ORA-00324     log file '' translated name '' too long, characters exceeds limit
236	ORA-00325     archived log for thread , wrong thread # in header
237	ORA-00326     log begins at change , need earlier change
238	ORA-00327     log of thread , physical size less than needed
239	ORA-00328     archived log ends at change , need later change
240	ORA-00329     archived log begins at change , need change
241	ORA-00330     archived log ends at change , need change
242	ORA-00331     log version incompatible with ORACLE version
243	ORA-00332     archived log is too small - may be incompletely archived
244	ORA-00333     redo log read error block count
245	ORA-00334     archived log     ''
246	ORA-00335     online log      No log with this number, log does not exist
247	ORA-00336     log file size blocks is less than minimum blocks
248	ORA-01539     tablespace '' is not online
249	ORA-01540     tablespace '' is not offline
250	ORA-01541     system tablespace cannot be brought offline; shut down if necessary
251	ORA-01542     tablespace '' is offline, cannot allocate space in it
252	ORA-01543     tablespace '' already exists
253	ORA-01544     cannot drop system rollback segment
254	ORA-01545     rollback segment '' specified not available
255	ORA-01546     tablespace contains active rollback segment ''
256	ORA-01547     warning     RECOVER succeeded but OPEN RESETLOGS would get error below
257	ORA-01548     active rollback segment '' found, terminate dropping tablespace
258	ORA-01549     tablespace not empty, use INCLUDING CONTENTS option
259	ORA-01550     cannot drop system tablespace
260	ORA-01551     extended rollback segment, pinned blocks released
261	ORA-01552     cannot use system rollback segment for non-system tablespace ''
262	ORA-01553     MAXEXTENTS must be no smaller than the extents currently allocated
263	ORA-01554     out of transaction slots in transaction tables
264	ORA-01555     snapshot too old     rollback segment number with name "" too small
265	ORA-01556     MINEXTENTS for rollback segment must be greater than 1
266	ORA-01557     rollback segment extents must be at least blocks
267	ORA-01558     out of transaction ID's in rollback segment
268	ORA-01559     MAXEXTENTS for rollback segment must be greater than 1
269	ORA-01560     LIKE pattern contains partial or illegal character
270	ORA-01561     failed to remove all objects in the tablespace specified
271	ORA-01562     failed to extend rollback segment number
272	ORA-01563     rollback segment is PUBLIC, need to use the keyword PUBLIC
273	ORA-01564     rollback segment is not PUBLIC
274	ORA-01565     error in identifying file ''
275	ORA-01566     file specified more than once in ALTER DATABASE
276	ORA-01567     dropping log would leave less than 2 log files for instance (thread )
277	ORA-01568     cannot set space quota on PUBLIC
278	ORA-01569     data file too small for system dictionary tables
279	ORA-01570     MINEXTENTS must be no larger than the extents currently allocated
280	ORA-01571     redo version incompatible with ORACLE version
281	ORA-01572     rollback segment '' cannot be brought online, extents exceeded
282	ORA-01573     shutting down instance, no further change allowed
283	ORA-01574     maximum number of concurrent transactions exceeded
284	ORA-01575     timeout waiting for space management resource
285	ORA-01576     The instance is not enabled
286	ORA-01577     cannot add log file '' - file already part of database
287	ORA-01578     ORACLE data block corrupted (file # , block # )
288	ORA-01579     write error occurred during recovery
289	ORA-01580     error creating control backup file
290	ORA-01581     attempt to use rollback segment () new extent () which is being allocated
291	ORA-01582     unable to open control file for backup
292	ORA-01583     unable to get block size of control file to be backed up
293	ORA-01584     unable to get file size of control file to be backed up
294	ORA-01585     error identifying backup file
295	ORA-01586     database must be mounted EXCLUSIVE and not open for this operation
296	ORA-01587     error during control file backup file copy
297	ORA-01588     must use RESETLOGS option for database open
298	ORA-01589     must use RESETLOGS or NORESETLOGS option for database open
299	ORA-01590     number of segment free list () exceeds maximum of
300	ORA-01591     lock held by in-doubt distributed transaction
301	ORA-01592     error converting Version 7 rollback segment () to Oracle 8 format
302	ORA-01593     rollback segment optimal size ( blks) is smaller than the computed initial size ( blks)
303	ORA-01594     attempt to wrap into rollback segment () extent () which is being freed
304	ORA-01595     error freeing extent () of rollback segment ())
305	ORA-01596     cannot specify system in parameter
306	ORA-01597     cannot alter system rollback segment online or offline
307	ORA-01598     rollback segment '' is not online
308	ORA-01599     failed to acquire rollback segment (), cache space is full
309	ORA-01600     at most one "" in clause "" of
310	ORA-01601     illegal bucket size in clause "" of
311	ORA-01603     illegal grouping size in clause "" of
312	ORA-01604     illegal number range in clause "" of
313	ORA-01605     missing numbers in clause "" of
314	ORA-01606     gc_files_to_locks not identical to that of another mounted instance
315	ORA-01607     cannot add logfile to the specified instance
316	ORA-01608     cannot bring rollback segment '' online, its status is ()
317	ORA-01609     log is the current log for thread - cannot drop members
318	ORA-01610     recovery using the BACKUP CONTROLFILE option must be done
319	ORA-01611     thread number is invalid - must be between 1 and
320	ORA-01612     instance (thread ) is already enabled
321	ORA-01613     instance (thread ) only has logs - at least 2 logs required to enable.
322	ORA-01614     instance (thread ) is busy - cannot enable
323	ORA-01615     instance (thread ) is mounted - cannot disable
324	ORA-01616     instance (thread ) is open - cannot disable
325	ORA-01617     cannot mount     is not a valid thread number
326	ORA-01618     redo thread is not enabled - cannot mount
327	ORA-01619     thread is mounted by another instance
328	ORA-01620     no public threads are available for mounting
329	ORA-01621     cannot rename member of current log if database is open
330	ORA-01622     thread number must be specified - default not specific
331	ORA-01623     log is current log for instance (thread ) - cannot drop
332	ORA-01624     log needed for crash recovery of instance (thread )
333	ORA-01625     rollback segment '' does not belong to this instance
334	ORA-01626     rollback segment number '' cannot handle more transactions
335	ORA-01627     rollback segment number '' is not online
336	ORA-01628     max # extents () reached for rollback segment
337	ORA-01629     max # extents () reached saving undo for tablespace
338	ORA-01630     max # extents () reached in temp segment in tablespace
339	ORA-01631     max # extents () reached in table .
340	ORA-01632     max # extents () reached in index .
341	ORA-01633     Real Application Clusters Option needed for this operation
342	ORA-01634     rollback segment number '' is about to go offline
343	ORA-01635     rollback segment # specified not available
344	ORA-01636     rollback segment '' is already online
345	ORA-01637     rollback segment '' is being used by another instance (#)
346	ORA-01638     parameter does not allow ORACLE version to mount cluster database
347	ORA-01639     instance has no thread assigned to it
348	ORA-01640     cannot make tablespace read only with active transactions
349	ORA-01641     tablespace '' is not online - cannot add data file
350	ORA-01642     begin backup not needed for read only tablespace ''
351	ORA-01643     system tablespace can not be made read only
352	ORA-01644     tablespace '' is already read only
353	ORA-01645     previous attempt to make read write is half complete
354	ORA-01646     tablespace '' is not read only - cannot make read write
355	ORA-01647     tablespace '' is read only, cannot allocate space in it
356	ORA-01648     log is the current log of disabled instance (thread )
357	ORA-01649     operation not allowed with a backup control file
358	ORA-01650     unable to extend rollback segment by in tablespace
359	ORA-01651     unable to extend save undo segment by for tablespace
360	ORA-01652     unable to extend temp segment by in tablespace
361	ORA-01653     unable to extend table . by in tablespace
362	ORA-01654     unable to extend index . by in tablespace
363	ORA-01655     unable to extend cluster . by in tablespace
364	ORA-01656     max # extents () reached in cluster .
365	ORA-01657     invalid SHRINK option value
366	ORA-01658     unable to create INITIAL extent for segment in tablespace
367	ORA-01659     unable to allocate MINEXTENTS beyond in tablespace
368	ORA-01660     tablespace '' is already permanent
369	ORA-01661     tablespace '' is already temporary
370	ORA-01662     tablespace '' is non-empty and cannot be made temporary
371	ORA-01663     the contents of tablespace '' is constantly changing
372	ORA-01664     Transaction which has expanded the Sort Segment has aborted
373	ORA-01665     control file is not a standby control file
374	ORA-01666     control file is for a standby database
375	ORA-01667     cannot add any more tablespaces     limit of exceeded
376	ORA-01668     standby database requires DROP option for offline of data file
377	ORA-01669     standby database control file not consistent
378	ORA-01670     new datafile needed for standby database recovery
379	ORA-01671     control file is a backup, cannot make a standby control file
380	ORA-01672     control file may be missing files or have extra ones
381	ORA-01673     data file has not been identified
382	ORA-01674     data file is an old incarnation rather than current file
383	ORA-01675     max_commit_propagation_delay inconsistent with other instances
384	ORA-01676     standby file name convert of '' exceeds maximum length of
385	ORA-01677     standby file name convert parameters differ from other instance
386	ORA-01678     parameter must be pairs of pattern and replacement strings
387	ORA-01679     database must be mounted EXCLUSIVE and not open to activate
388	ORA-01680     unable to extend LOB segment by in tablespace
389	ORA-01681     max # extents () reached in LOB segment in tablespace
390	ORA-01682     read-only DB cannot allocate temporary space in tablespace
391	ORA-01683     unable to extend index . partition by in tablespace
392	ORA-01684     max # extents () reached in table . partition
393	ORA-01685     max # extents () reached in index . partition
394	ORA-01686     max # files () reached for the tablespace
395	ORA-01687     specified logging attribute for tablespace '' is same as the existing
396	ORA-01688     unable to extend table . partition by in tablespace
397	ORA-01689     syntax error in clause "" of
398	ORA-01690     sort area size too small
399	ORA-01691     unable to extend lob segment . by in tablespace
400	ORA-01692     unable to extend lob segment . partition by in tablespace
401	ORA-01693     max # extents () reached in lob segment .
402	ORA-01694     max # extents () reached in lob segment . partition
403	ORA-01695     error converting rollback segment to version 8.0.2
404	ORA-01696     control file is not a clone control file
405	ORA-01697     control file is for a clone database
406	ORA-01698     a clone database may only have SYSTEM rollback segment online
407	ORA-01699     tablespace '' is being imported for point in time recovery
408	ORA-01700     duplicate username in list
409	ORA-01701     a cluster is not appropriate here
410	ORA-01702     a view is not appropriate here
411	ORA-01703     missing SYNONYM keyword
412	ORA-01704     string literal too long
413	ORA-01705     an outer join cannot be specified on a correlation column
414	ORA-01706     user function result value was too large
415	ORA-01707     missing LIST keyword
416	ORA-01708     ACCESS or SESSION expected
417	ORA-01709     program does not exist
418	ORA-01710     missing OF keyword
419	ORA-01711     duplicate privilege listed
420	ORA-01712     you cannot grant a privilege which you do not have
421	ORA-01713     GRANT OPTION does not exist for that privilege
422	ORA-01714     error in execution of user function
423	ORA-01715     UNIQUE may not be used with a cluster index
424	ORA-01716     NOSORT may not be used with a cluster index
425	ORA-01717     seccta     invalid access mode token passed
426	ORA-01718     BY ACCESS | SESSION clause not allowed for NOAUDIT
427	ORA-01719     outer join operator (+) not allowed in operand of OR or IN
428	ORA-01720     grant option does not exist for '.'
429	ORA-01721     USERENV(COMMITSCN) invoked more than once in a transaction
430	ORA-01722     invalid number
431	ORA-01723     zero-length columns are not allowed
432	ORA-01724     floating point precision is out of range (1 to 126)
433	ORA-01725     USERENV('COMMITSCN') not allowed here
434	ORA-01726     a table is not appropriate here
435	ORA-01727     numeric precision specifier is out of range (1 to 38)
436	ORA-01728     numeric scale specifier is out of range (-84 to 127)
437	ORA-01729     database link name expected
438	ORA-01730     invalid number of column names specified
439	ORA-01731     circular view definition encountered
440	ORA-01732     data manipulation operation not legal on this view
441	ORA-01733     virtual column not allowed here
442	ORA-01734     illegal parameters - EXTENT MIN higher than EXTENT MAX
443	ORA-01735     invalid ALTER TABLE option
444	ORA-01736     [NOT] SUCCESSFUL expected
445	ORA-01737     valid modes     [ROW] SHARE, [[SHARE] ROW] EXCLUSIVE, SHARE UPDATE
446	ORA-01738     missing IN keyword
447	ORA-01739     missing MODE keyword
448	ORA-01740     missing double quote in identifier
449	ORA-01741     illegal zero-length identifier
450	ORA-01742     comment not terminated properly
451	ORA-01743     only pure functions can be indexed
452	ORA-01744     inappropriate INTO
453	ORA-01745     invalid host/bind variable name
454	ORA-01746     indicator variable not permitted here
455	ORA-01747     invalid user.table.column, table.column, or column specification
456	ORA-01748     only simple column names allowed here
457	ORA-01749     you may not GRANT/REVOKE privileges to/from yourself
458	ORA-01750     UPDATE/REFERENCES may only be REVOKEd from the whole table, not by column
459	ORA-01751     Invalid dump undo option
460	ORA-01752     cannot delete from view without exactly one key-preserved table
461	ORA-01753     column definition incompatible with clustered column definition
462	ORA-01754     a table may contain only one column of type LONG
463	ORA-01755     Must specify an extent number or block number
464	ORA-01756     quoted string not properly terminated
465	ORA-01757     Must specify an object number
466	ORA-01758     table must be empty to add mandatory (NOT NULL) column
467	ORA-01759     user function is incorrectly defined
468	ORA-01760     illegal argument for function
469	ORA-01761     DML operation does not map to a unique table in the join
470	ORA-01762     vopdrv     view query block not in FROM
471	ORA-01763     update or delete involves outer joined table
472	ORA-01764     new update value of join is not guaranteed to be unique
473	ORA-01765     specifying table's owner name is not allowed
474	ORA-01766     dictionary table not allowed in this context
475	ORA-01767     UPDATE ... SET expression must be a subquery
476	ORA-01768     number string too long
477	ORA-01769     duplicate CLUSTER option specifications
478	ORA-01770     CLUSTER option not allowed in CREATE CLUSTER command
479	ORA-01771     illegal option for a clustered table
480	ORA-01772     Must specify a value for LEVEL
481	ORA-01773     may not specify column datatypes in this CREATE TABLE
482	ORA-01774     Dump undo option specified more than once
483	ORA-01775     looping chain of synonyms
484	ORA-01776     cannot modify more than one base table through a join view
485	ORA-01777     WITH GRANT OPTION not allowed in this system
486	ORA-01778     maximum subquery nesting level exceeded
487	ORA-00337     log file '' does not exist and no size specified
488	ORA-00338     log of thread is more recent than control file
489	ORA-00339     archived log does not contain any redo
490	ORA-00340     IO error processing online log of thread
491	ORA-00341     log of thread , wrong log # in header
492	ORA-00342     archived log does not have expected resetlogs SCN
493	ORA-00343     too many errors, log member closed
494	ORA-00344     unable to re-create online log ''
495	ORA-00345     redo log write error block count
496	ORA-00346     log member marked as STALE
497	ORA-00347     log of thread , expected block size doesn't match
498	ORA-00348     single-process redo failure. Must abort instance
499	ORA-00349     failure obtaining block size for ''
500	ORA-00350     log of instance (thread ) needs to be archived
501	ORA-00351     recover-to time invalid
502	ORA-00352     all logs for thread need to be archived - cannot enable
503	ORA-00353     log corruption near block change time
504	ORA-00354     corrupt redo log block header
505	ORA-00355     change numbers out of order
506	ORA-00356     inconsistent lengths in change description
507	ORA-00357     too many members specified for log file, the maximum is
508	ORA-00358     Too many file members specified, the maximum is
509	ORA-00359     logfile group does not exist
510	ORA-00360     not a logfile member    
511	ORA-00361     cannot remove last log member for group
512	ORA-00362     member is required to form a valid logfile in group
513	ORA-00363     log is not the archived version
514	ORA-00364     cannot write header to new log member
515	ORA-00365     the specified log is not the correct next log
516	ORA-00366     log of thread , checksum error in the file header
517	ORA-00367     checksum error in log file header
518	ORA-00368     checksum error in redo log block
519	ORA-00369     Current log of thread not useable and other log being cleared
520	ORA-00370     potential deadlock during kcbchange operation
521	ORA-00371     not enough shared pool memory, should be atleast bytes
522	ORA-00372     file cannot be modified at this time
523	ORA-00373     online log version incompatible with ORACLE version
524	ORA-00374     parameter db_block_size = invalid ; must be a multiple of in the range [..]
525	ORA-00375     unable to get default db_block_size
526	ORA-00376     file cannot be read at this time
527	ORA-00377     Frequent backups of file causing write operation to stall
528	ORA-00378     buffer pools cannot be created as specified
529	ORA-00379     no free buffers available in buffer pool for block size K
530	ORA-00380     cannot specify db_k_cache_size since K is the standard block size
531	ORA-00381     cannot use both new and old parameters for buffer cache size specification
532	ORA-00382     not a valid block size, valid range [..]
533	ORA-00383     DEFAULT cache for blocksize cannot be reduced to zero
534	ORA-00384     Insufficient memory to grow cache
535	ORA-00385     cannot enable Very Large Memory with new buffer cache parameters
536	ORA-00386     use_indirect_data_buffers not supported
537	ORA-00390     log of thread is being cleared, cannot become current log
538	ORA-00391     All threads must switch to new log format at the same time
539	ORA-00392     log of thread is being cleared, operation not allowed
540	ORA-00393     log of thread is needed for recovery of offline datafiles
541	ORA-00394     online log reused while attempting to archive it
542	ORA-00395     online logs for the clone database must be renamed
543	ORA-00396     error required fallback to single-pass recovery
544	ORA-00397     instance recovery process terminated with error
545	ORA-00398     abort thread recovery due to reconfiguration
546	ORA-00399     corrupt change description in redo log
547	ORA-00400     invalid release value for parameter
548	ORA-00401     the value for parameter is not supported by this release
549	ORA-00402     database changes by release cannot be used by release
550	ORA-00403     () is not the same as other instances ()
551	ORA-00404     Convert file not found     ''
552	ORA-00405     compatibility type ""
553	ORA-00406     COMPATIBLE parameter needs to be or greater
554	ORA-00407     rolling upgrade from release . to . is not allowed
555	ORA-00408     parameter is set to TRUE
556	ORA-00409     COMPATIBLE needs to be or higher to use AUTO SEGMENT SPACE MANAGEMENT
557	ORA-00436     ORACLE is not licensed. Contact Oracle Corp. for assistance
558	ORA-00437     ORACLE feature is not licensed. Contact Oracle Corp. for assistance
559	ORA-00438     Option not installed
560	ORA-00439     feature not enabled    
561	ORA-00443     background process "" did not start
562	ORA-00444     background process "" failed while starting
563	ORA-00445     background process "" did not start after seconds
564	ORA-00446     background process started when not expected
565	ORA-00447     fatal error in background process
566	ORA-00448     normal completion of background process
567	ORA-00449     background process '' unexpectedly terminated with error
568	ORA-00450     background process '' did not start
569	ORA-00451     foreground process died unexpectedly
570	ORA-00452     foreground process unexpectedly terminated with error
571	ORA-00453     backgroud process '' is dead
572	ORA-00469     CKPT process terminated with error
573	ORA-00470     LGWR process terminated with error
574	ORA-00471     DBWR process terminated with error
575	ORA-00472     PMON process terminated with error
576	ORA-00473     ARCH process terminated with error
577	ORA-00474     SMON process terminated with error
578	ORA-00475     TRWR process terminated with error
579	ORA-00476     RECO process terminated with error
580	ORA-00477     SNP* process terminated with error
581	ORA-00478     SMON process terminated due to error
582	ORA-00479     RVWR process terminated with error
583	ORA-00480     LCK* process terminated with error
584	ORA-00481     LMON process terminated with error
585	ORA-00482     LMD* process terminated with error
586	ORA-00483     During shutdown a process abnormally terminated
587	ORA-00484     LMS* process terminated with error
588	ORA-00485     DIAG process terminated with error
589	ORA-00486     ASMB process terminated with error
590	ORA-00487     CTWR process terminated with error
591	ORA-00488     RBAL process terminated with error
592	ORA-00489     ARB* process terminated with error
593	ORA-00490     PSP process terminated with error
594	ORA-00494     enqueue held for too long by ''
595	ORA-00566     cannot request processor group - NUMA not enabled
596	ORA-00567     Requested processor group is too large (maximum )
